"ID de la incidencia","Proyecto","Etiquetas","Resumen","Notificador","Creada","Actualizada","Resuelta","Prioridad","Tipo","Estado","Usuario asignado","Estimación","Tiempo empleado","Sprints","Ideal days","Original estimation","Story points","Descripción","Votos"
"TDI-66","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Implementar preview de adjuntos en la app.","admin","27 ago 2025 01:10","27 ago 2025 01:10",,"Normal","Tarea","Abierto","Jmonsalvez2020","120",,"Sprint 1",,,,,"0"
"TDI-59","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Implementar reordenamiento de tareas (drag & drop en mobile)","admin","27 ago 2025 01:06","27 ago 2025 01:06",,"Normal","Tarea","Abierto","Leo","180",,"Sprint 1",,,,,"0"
"TDI-58","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Implementar auditoría de cambios en tareas.","admin","27 ago 2025 01:05","27 ago 2025 01:05",,"Normal","Tarea","Abierto","amonsalve2022","120",,"Sprint 1",,,,,"0"
"TDI-57","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Implementar búsqueda por título o etiqueta.","admin","27 ago 2025 01:04","27 ago 2025 01:04",,"Normal","Tarea","Abierto","amonsalve2022","90",,"Sprint 1",,,,,"0"
"TDI-54","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Implementar etiquetas en tareas.","admin","27 ago 2025 01:02","27 ago 2025 01:02",,"Normal","Tarea","Abierto","amonsalve2022","30",,"Sprint 1",,,,,"0"
"TDI-53","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Implementar orden de prioridad en tareas.","admin","27 ago 2025 01:02","27 ago 2025 01:02",,"Normal","Tarea","Abierto","amonsalve2022","20",,"Sprint 1",,,,,"0"
"TDI-52","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Implementar asignación de responsable en tarea.","admin","27 ago 2025 01:00","27 ago 2025 01:00",,"Normal","Tarea","Abierto","amonsalve2022","20",,"Sprint 1",,,,,"0"
"TDI-46","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Documentar endpoints en Swagger/OpenAPI.","admin","27 ago 2025 00:57","27 ago 2025 00:57",,"Normal","Tarea","Abierto","Leo","120",,"Sprint 1",,,,,"0"
"TDI-27","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Configurar manejo de estados (ViewModel).","admin","27 ago 2025 00:40","27 ago 2025 00:40",,"Normal","Tarea","Abierto","Leo","60",,"Sprint 1",,,,,"0"
"TDI-25","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Diseñar modal para adjuntar archivos.","admin","27 ago 2025 00:39","27 ago 2025 00:39",,"Normal","Tarea","Abierto","Leo","20",,"Sprint 1",,,,,"0"
